,PacketTime,X,Y,NormalPressure,DeltaT,DistJump,Velocity,PressurePrev,PressureCurr,IsBoundary,Trial
137,1540975025,3506,24488,0,5.0,21.2602916254693,4252.05832509386,0.0,0,False,0
138,1540975030,3492,24472,0,5.0,21.2602916254693,4252.05832509386,0.0,0,False,0
139,1540975035,3478,24455,0,5.0,22.02271554554524,4404.543109109048,0.0,0,False,0
140,1540975040,3464,24438,0,5.0,22.02271554554524,4404.543109109048,0.0,0,False,0
141,1540975045,3450,24421,0,5.0,22.02271554554524,4404.543109109048,0.0,0,False,0
142,1540975050,3437,24403,0,5.0,22.20360331117452,4440.720662234904,0.0,0,False,0
143,1540975055,3425,24385,0,5.0,21.633307652783937,4326.6615305567875,0.0,0,False,0
144,1540975060,3413,24368,0,5.0,20.808652046684813,4161.730409336962,0.0,0,False,0
145,1540975065,3402,24350,0,5.0,21.095023109728988,4219.004621945797,0.0,0,False,0
146,1540975070,3393,24334,0,5.0,18.35755975068582,3671.5119501371637,0.0,0,False,0
147,1540975075,3386,24319,0,5.0,16.55294535724685,3310.5890714493694,0.0,0,False,0
148,1540975080,3381,24307,0,5.0,13.0,2600.0,0.0,0,False,0
149,1540975084,3376,24299,0,4.0,9.433981132056603,2358.4952830141506,0.0,0,False,0
150,1540975089,3371,24295,0,5.0,6.4031242374328485,1280.6248474865697,0.0,0,False,0
151,1540975094,3368,24294,0,5.0,3.1622776601683795,632.4555320336759,0.0,0,False,0
152,1540975098,3364,24294,2721,4.0,4.0,1000.0,0.0,2721,False,0
153,1540975103,3364,24294,3697,5.0,0.0,0.0,2721.0,3697,False,0
154,1540975108,3364,24294,4033,5.0,0.0,0.0,3697.0,4033,False,0
155,1540975112,3364,24294,4962,4.0,0.0,0.0,4033.0,4962,False,0
156,1540975117,3364,24294,5762,5.0,0.0,0.0,4962.0,5762,False,0
157,1540975122,3364,24294,6482,5.0,0.0,0.0,5762.0,6482,False,0
158,1540975127,3364,24294,7107,5.0,0.0,0.0,6482.0,7107,False,0
159,1540975132,3364,24294,7571,5.0,0.0,0.0,7107.0,7571,False,0
160,1540975137,3364,24294,8035,5.0,0.0,0.0,7571.0,8035,False,0
161,1540975142,3364,24294,8659,5.0,0.0,0.0,8035.0,8659,False,0
162,1540975147,3364,24294,9348,5.0,0.0,0.0,8659.0,9348,False,0
163,1540975152,3392,24299,10084,5.0,28.442925306655784,5688.585061331157,9348.0,10084,False,0
164,1540975157,3399,24302,10820,5.0,7.615773105863909,1523.1546211727816,10084.0,10820,False,0
165,1540975162,3408,24304,11493,5.0,9.219544457292887,1843.9088914585773,10820.0,11493,False,0
166,1540975167,3415,24305,12245,5.0,7.0710678118654755,1414.213562373095,11493.0,12245,False,0
167,1540975172,3421,24306,12901,5.0,6.082762530298219,1216.5525060596437,12245.0,12901,False,0
168,1540975177,3426,24306,13510,5.0,5.0,1000.0,12901.0,13510,False,0
169,1540975182,3431,24306,14054,5.0,5.0,1000.0,13510.0,14054,False,0
170,1540975187,3435,24306,14534,5.0,4.0,800.0,14054.0,14534,False,0
171,1540975192,3440,24307,14902,5.0,5.0990195135927845,1019.8039027185569,14534.0,14902,False,0
172,1540975197,3445,24308,15174,5.0,5.0990195135927845,1019.8039027185569,14902.0,15174,False,0
173,1540975202,3452,24310,15399,5.0,7.280109889280518,1456.0219778561036,15174.0,15399,False,0
174,1540975207,3460,24314,15671,5.0,8.94427190999916,1788.8543819998317,15399.0,15671,False,0
175,1540975212,3470,24318,15911,5.0,10.770329614269007,2154.0659228538016,15671.0,15911,False,0
176,1540975217,3484,24324,16103,5.0,15.231546211727817,3046.3092423455632,15911.0,16103,False,0
177,1540975222,3498,24331,16215,5.0,15.652475842498529,3130.495168499706,16103.0,16215,False,0
178,1540975227,3513,24340,16311,5.0,17.4928556845359,3498.57113690718,16215.0,16311,False,0
179,1540975232,3529,24352,16407,5.0,20.0,4000.0,16311.0,16407,False,0
180,1540975237,3546,24368,16663,5.0,23.345235059857504,4669.047011971501,16407.0,16663,False,0
181,1540975242,3564,24386,16839,5.0,25.45584412271571,5091.168824543142,16663.0,16839,False,0
182,1540975247,3583,24408,16839,5.0,29.068883707497267,5813.776741499453,16839.0,16839,False,0
183,1540975252,3601,24430,16823,5.0,28.42534080710379,5685.068161420758,16839.0,16823,False,0
184,1540975257,3617,24454,16823,5.0,28.844410203711913,5768.882040742383,16823.0,16823,False,0
185,1540975262,3635,24481,16855,5.0,32.449961479175904,6489.992295835181,16823.0,16855,False,0
186,1540975267,3654,24509,17015,5.0,33.83784863137726,6767.569726275452,16855.0,17015,False,0
187,1540975272,3673,24540,17015,5.0,36.359317925395686,7271.863585079137,17015.0,17015,False,0
188,1540975277,3691,24572,17015,5.0,36.71511950137164,7343.023900274327,17015.0,17015,False,0
189,1540975282,3709,24602,17111,5.0,34.9857113690718,6997.14227381436,17015.0,17111,False,0
190,1540975286,3725,24631,17127,4.0,33.12099032335839,8280.247580839598,17111.0,17127,False,0
191,1540975291,3739,24659,17207,5.0,31.304951684997057,6260.990336999412,17127.0,17207,False,0
192,1540975296,3752,24688,17207,5.0,31.78049716414141,6356.099432828281,17207.0,17207,False,0
193,1540975301,3763,24717,17207,5.0,31.016124838541646,6203.224967708329,17207.0,17207,False,0
194,1540975306,3772,24745,17175,5.0,29.410882339705484,5882.176467941097,17207.0,17175,False,0
195,1540975311,3779,24771,17111,5.0,26.92582403567252,5385.1648071345035,17175.0,17111,False,0
196,1540975316,3784,24794,17111,5.0,23.53720459187964,4707.440918375928,17111.0,17111,False,0
197,1540975321,3787,24814,17127,5.0,20.223748416156685,4044.749683231337,17111.0,17127,False,0
