PacketTime,X,Y,NormalPressure,DeltaT,DistJump,PressurePrev,PressureCurr,NewTrial,Trial,segment_id,segment_label,letter_id,letter_label
270223035,35662,9814,2593,5.0,7.280109889280518,2545.0,2593,False,26,-1,,-1,
270223040,35653,9816,2993,5.0,9.219544457292887,2593.0,2993,False,26,-1,,-1,
270223045,35644,9817,3857,5.0,9.055385138137417,2993.0,3857,False,26,-1,,-1,
270223050,35633,9817,5090,5.0,11.0,3857.0,5090,False,26,-1,,-1,
270223055,35621,9817,6066,5.0,12.0,5090.0,6066,False,26,-1,,-1,
270223060,35607,9813,6883,5.0,14.560219778561036,6066.0,6883,False,26,-1,,-1,
270223065,35592,9803,7539,5.0,18.027756377319946,6883.0,7539,False,26,-1,,-1,
270223070,35576,9788,8179,5.0,21.93171219946131,7539.0,8179,False,26,-1,,-1,
270223075,35558,9769,8788,5.0,26.1725046566048,8179.0,8788,False,26,-1,,-1,
270223080,35540,9746,9108,5.0,29.206163733020468,8788.0,9108,False,26,-1,,-1,
270223085,35522,9719,9172,5.0,32.449961479175904,9108.0,9172,False,26,-1,,-1,
270223090,35505,9689,9476,5.0,34.48187929913333,9172.0,9476,False,26,-1,,-1,
270223095,35491,9656,9492,5.0,35.84689665786984,9476.0,9492,False,26,-1,,-1,
270223100,35480,9624,9604,5.0,33.83784863137726,9492.0,9604,False,26,-1,,-1,
270223105,35472,9591,9604,5.0,33.95585369269929,9604.0,9604,False,26,-1,,-1,
270223110,35466,9559,9556,5.0,32.55764119219941,9604.0,9556,False,26,-1,,-1,
270223115,35463,9528,9492,5.0,31.144823004794873,9556.0,9492,False,26,-1,,-1,
270223120,35462,9498,9492,5.0,30.01666203960727,9492.0,9492,False,26,-1,,-1,
270223125,35462,9470,9492,5.0,28.0,9492.0,9492,False,26,-1,,-1,
270223130,35462,9444,9492,5.0,26.0,9492.0,9492,False,26,-1,,-1,
270223135,35470,9419,9444,5.0,26.248809496813376,9492.0,9444,False,26,-1,,-1,
270223140,35479,9397,9396,5.0,23.769728648009426,9444.0,9396,False,26,-1,,-1,
270223145,35490,9379,9364,5.0,21.095023109728988,9396.0,9364,False,26,-1,,-1,
270223149,35502,9365,9348,4.0,18.439088914585774,9364.0,9348,False,26,-1,,-1,
270223154,35516,9355,9284,5.0,17.204650534085253,9348.0,9284,False,26,-1,,-1,
270223159,35532,9348,9108,5.0,17.46424919657298,9284.0,9108,False,26,-1,,-1,
270223164,35550,9345,8916,5.0,18.24828759089466,9108.0,8916,False,26,-1,,-1,
270223169,35569,9345,8756,5.0,19.0,8916.0,8756,False,26,-1,,-1,
270223174,35592,9345,8643,5.0,23.0,8756.0,8643,False,26,-1,,-1,
270223179,35617,9347,8627,5.0,25.079872407968907,8643.0,8627,False,26,-1,,-1,
